item_name,item_price,item_link,item_img,category
[MADE] 스탠딩 데님롱스커트,"27,800원",https://hotping.co.kr/product/detail.html?product_no=28326&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202305/c499b5064e5e3d159f8ba65a5d9e649d.gif,skirts
[여름하객원피스][MADE] 메이듀 백리본 퍼프 셔링 플레어롱원피스,"35,720원",https://hotping.co.kr/product/detail.html?product_no=40277&cate_no=25&display_group=1,https://hotping.co.kr/web/product/medium/202306/1e0b277e1faaf4f7a720e5a40f0f4cc7.gif,new
[컬러추가💗][MADE] 탄탄한코튼 오버핏 반팔티셔츠,"12,800원",https://hotping.co.kr/product/detail.html?product_no=39655&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202304/1ab94b1263c5b02892ab532db1b40c80.gif,tops
[MADE] 최고좋아2_와이드5부 얼음반바지(썸머ver),"12,800원",https://hotping.co.kr/product/detail.html?product_no=29296&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202303/43c41ebac611ab881ffb99a1ee9f7fb1.gif,bottoms
[MADE][워셔블] 골지스퀘어넥 슬림핏 긴팔티셔츠,"11,000원",https://hotping.co.kr/product/detail.html?product_no=36732&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202208/97bfa2fff73fcd0d552549514cb4a6a8.gif,sale
페이퍼 나일론 스판 밴딩와이드팬츠,"10,000원",https://hotping.co.kr/product/detail.html?product_no=36735&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202207/a41307bec63b2c0f59c21dafa36a538d.gif,sale
[관리쉬운/쿨링감🧊/공항룩🛬/구김ZERO][MADE] 피플즈_반크롭맨투맨 밴딩 롱스커트set,"19,800원",https://hotping.co.kr/product/detail.html?product_no=40286&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202305/fe9d325984931b21842d6e3d087602f3.gif,tops
[MADE] 여름에도입어 9부레깅스,"9,900원",https://hotping.co.kr/product/detail.html?product_no=20336&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202303/cff088645413a95da7318436cd87943b.gif,bottoms
[MADE] 페리니 코튼 멜빵 롱원피스,"29,800원",https://hotping.co.kr/product/detail.html?product_no=40345&cate_no=26&display_group=1,https://www.hotping.co.kr/web/product/medium/202304/b319153672ab6e08e2dd0adffa04eb56.gif,dresses
해피 오버핏 프린팅반팔티셔츠,"19,800원",https://hotping.co.kr/product/detail.html?product_no=36053&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202205/440246f789439455aeb82cfeefc0a16e.gif,tops
데이르 라운드 베이직 니트티,"11,000원",https://hotping.co.kr/product/detail.html?product_no=38216&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202210/6c856d6900e2deca4b4a2a365677af51.gif,sale
[MADE] 메니크 속밴딩 에어로쿨 일자청바지,"34,800원",https://hotping.co.kr/product/detail.html?product_no=35922&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/e1c5d3c649988841c357e6295a2a73a8.gif,bottoms
[MADE/이염X] 비히얼 스판 슬림일자 데님팬츠,"20,000원",https://hotping.co.kr/product/detail.html?product_no=39426&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202302/f9bacd4495f3ceccd7d193433b990874.gif,sale
[MADE] 에보킨 플리츠 밴딩 플레어 롱스커트,"19,800원",https://hotping.co.kr/product/detail.html?product_no=39971&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202304/ff201604138a6d0c2e4933a1affe7e3d.gif,skirts
가이아 뒷밴딩 핀턱 미니스커트,"21,800원",https://hotping.co.kr/product/detail.html?product_no=37987&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202301/68a399a6576da1543c0f27a6aa17d741.gif,skirts
[MADE] 로너프 썸머 린넨 v넥가디건,"21,800원",https://hotping.co.kr/product/detail.html?product_no=32699&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202212/e39d818d398d9652ecc1b0ad75be9950.gif,outwear
유어스 컷팅치마바지,"29,800원",https://hotping.co.kr/product/detail.html?product_no=18514&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202301/75ac52575edf9c01a7f6874929695e2e.gif,skirts
[MADE] 후드데님 오버핏 청자켓,"18,000원",https://hotping.co.kr/product/detail.html?product_no=18383&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202301/9da095cba0055bc901e1b1a952137d95.gif,outwear
[MADE] 큐트 레이온스판 스퀘어넥 티셔츠,"9,000원",https://hotping.co.kr/product/detail.html?product_no=37147&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202209/8eb913beb21b25dc0ae325f881e231d0.gif,sale
