item_id,item_size,cup_size,hips,category,height,length,fit,user_id
123373,2,4,38,new,165.0,2,0,991571
123373,4,2,30,new,155.0,2,0,587883
123373,3,3,41,new,160.0,2,0,162012
123373,5,4,49,new,165.0,2,0,205796
123373,0,6,60,new,160.0,2,0,422613
123373,1,2,36,new,157.5,2,1,510154
123373,5,3,50,new,160.0,2,1,780339
123373,3,5,35,new,162.5,0,1,328698
123373,5,5,38,new,150.0,3,2,42046
123373,3,3,35,new,165.0,3,0,129669
123373,5,7,48,new,160.0,2,1,884093
123373,5,5,52,new,167.5,2,0,78371
123373,3,2,40,new,172.5,2,1,567646
123373,3,2,35,new,170.0,2,2,670444
123373,3,3,40,new,152.5,3,0,803111
123373,5,5,35,new,160.0,2,1,269613
123373,5,2,46,new,165.0,2,1,483513
123373,2,2,35,new,160.0,3,0,38725
123373,3,9,39,new,157.5,2,0,12529
123373,3,3,42,new,162.5,2,0,861668
123373,1,3,36,new,157.5,3,2,960040
123373,2,5,30,new,177.5,2,1,931858
123373,3,3,40,new,172.5,2,1,162570
123373,3,2,35,new,165.0,2,0,966735
123373,5,4,50,new,160.0,2,1,756055
124024,3,5,40,new,167.5,1,1,930050
124024,5,4,40,new,157.5,2,1,771038
124024,3,4,45,new,165.0,4,1,558490
124024,2,4,39,new,162.5,1,1,955038
124024,3,5,35,new,165.0,2,1,281008
124024,3,6,42,new,162.5,1,1,404070
124124,4,1,42,new,147.5,2,2,557828
124124,3,2,41,new,155.0,1,1,862027
124124,3,3,41,new,162.5,2,2,11091
124124,5,4,48,new,170.0,2,2,788911
124124,5,3,45,new,162.5,2,1,70720
124124,4,6,40,new,152.5,2,1,582644
124124,2,3,39,new,160.0,2,1,47013
124124,5,5,35,new,145.0,3,2,33006
124124,4,4,38,new,157.5,0,0,312002
124124,3,5,39,new,170.0,0,1,55233
124124,5,6,51,new,175.0,2,1,661409
124124,4,4,46,new,152.5,2,1,440777
124124,3,3,45,new,165.0,1,0,799157
124124,3,2,36,new,157.5,2,1,125976
124124,3,3,40,new,157.5,2,1,635354
124124,1,2,41,new,160.0,2,0,307469
124124,2,3,38,new,165.0,2,1,485671
124124,2,6,41,new,155.0,2,2,193538
124124,2,4,36,new,167.5,1,2,540329
124124,4,3,42,new,177.5,2,1,615644
124124,1,3,38,new,147.5,2,1,707449
124124,2,3,39,new,167.5,1,1,612531
124124,4,8,39,new,157.5,2,1,910754
124124,5,4,33,new,162.5,2,1,276919
124124,5,6,52,new,160.0,2,2,282791
124124,5,4,51,new,152.5,2,1,668747
